"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SQSXWRQR","book","2016","Wiseman, Harris","The Myth of the Moral Brain: The Limits of Moral Enhancement","","978-0-262-33366-5","","","","An argument that moral functioning is immeasurably complex, mediated by biology but not determined by it.Throughout history, humanity has been seen as being in need of improvement, most pressingly in need of moral improvement. Today, in what has been called the beginnings of “the golden age of neuroscience,” laboratory findings claim to offer insights into how the brain “does” morality, even suggesting that it is possible to make people more moral by manipulating their biology. Can “moral bioenhancement”—using technological or pharmaceutical means to boost the morally desirable and remove the morally problematic—bring about a morally improved humanity? In The Myth of the Moral Brain, Harris Wiseman argues that moral functioning is immeasurably complex, mediated by biology but not determined by it. Morality cannot be engineered; there is no such thing as a “moral brain.”Wiseman takes a distinctively interdisciplinary approach, drawing on insights from philosophy, biology, theology, and clinical psychology. He considers philosophical rationales for moral enhancement, and the practical realities they come up against; recent empirical work, including studies of the cognitive and behavioral effects of oxytocin, serotonin, and dopamine; and traditional moral education, in particular the influence of religious thought, belief, and practice. Arguing that morality involves many interacting elements, Wiseman proposes an integrated bio-psycho-social approach to the consideration of moral enhancement. Such an approach would show that, by virtue of their sheer numbers, social and environmental factors are more important in shaping moral functioning than the neurobiological factors with which they are interwoven.","2016-02-19","2019-01-01 20:52:17","2019-01-15 17:44:01","","","351","","","","","The Myth of the Moral Brain","","","","","MIT Press","","en","","","","","Google Books","","Google-Books-ID: ytCaCwAAQBAJ","","","https://books.google.co.uk/books?id=ytCaCwAAQBAJ","","Philosophy / Ethics & Moral Philosophy; Science / Life Sciences / Biology; Science / Life Sciences / Neuroscience","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NM6ML4MN","book","2017","Midson, Scott A.","Cyborg Theology: Humans, Technology and God","","978-1-78672-295-9","","","","The concept of the cyborg, or cybernetic organism, has led to notably creative explorations of the ambiguous relationship between human beings and technology. In particular, Donna Haraway argued in her famous 1991 ‘Cyborg Manifesto’ that people, since they are so often now detached and separated from nature, have themselves evolved into cyborgs. This striking idea has had considerable influence within critical theory, cultural studies and even science fiction (where it has surfaced, for example, in the Terminator films and in the Borg of the Star Trek franchise). But it is a notion that has had much less currency in theology. In his innovative new book, Scott Midson boldly argues that the deeper nuances of Haraway’s and the cyborg idea can similarly rejuvenate theology, mythology and anthropology. Challenging the damaging anthropocentrism directed towards nature and the non-human in our society, the author reveals – through an imaginative reading of the myth of Eden – how it is now possible for humanity to be at one with the natural world even as it vigorously pursues novel, ‘post-human’, technologies.","2017-10-30","2019-01-01 20:52:51","2019-01-15 17:44:01","","","280","","","","","Cyborg Theology","","","","","I.B.Tauris","","en","","","","","Google Books","","Google-Books-ID: jixADwAAQBAJ","","","https://books.google.co.uk/books?id=jixADwAAQBAJ","","Religion / Theology; Philosophy / Political; Political Science / History & Theory; Political Science / Public Policy / Environmental Policy; Religion / Faith; Social Science / Anthropology / Cultural & Social; Social Science / Sociology / General","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6RZ2XBCK","webpage","2017","Croft, Steven","Artificial Intelligence: A Guide to the Key Issues","Bishop Steven's Blog","","","","https://blogs.oxford.anglican.org/artificial-intelligence-guide-key-issues/","I’ve been exploring Artificial Intelligence for some time now.  In June I was appointed to sit on a new House of Lords Select Committee on AI as part of my work in the House of Lords.","2017-08-25","2019-01-04 07:07:15","2019-01-15 17:44:01","2019-01-04 07:07:15","","","","","","","Artificial Intelligence","","","","","","","en-GB","","","","","","","","","/Users/jamie/Zotero/storage/UED355EC/artificial-intelligence-guide-key-issues.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKRPL44C","webpage","2017","Croft, Steven","Artificial Intelligence","Bishop Steven's Blog","","","","https://blogs.oxford.anglican.org/artificial-intelligence-eight-key-issues/","My top eight issues in AI and the deep theological questions they raise...","2017-11-28","2019-01-04 19:29:02","2019-01-15 17:44:01","2019-01-04 19:29:02","","","","","","","","","","","","","","en-GB","","","","","","","","","/Users/jamie/Zotero/storage/4RP6M83I/artificial-intelligence-eight-key-issues.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6PLE4LFJ","webpage","2017","Croft, Steven","Radio 4 Thought for the Day","Bishop Steven's Blog","","","","https://blogs.oxford.anglican.org/radio-4-thought-day/","Bishop Steven gave his Thought for the Day on Saturday 30th December 2017 during a programme edited by Artificial Intelligence (AI). “How are you feeling?” “What’s your energy like today?” Imagine being asked the same questions every day not by a person but by a machine. My eye was drawn earlier this year to the …","2017-12-30","2019-01-04 19:29:40","2019-01-15 17:44:01","2019-01-04 19:29:40","","","","","","","","","","","","","","en-GB","","","","","","","","","/Users/jamie/Zotero/storage/VDPGEEYU/radio-4-thought-day.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U8MFKRP3","webpage","2018","Croft, Steven","The only way is Ethics","Bishop Steven's Blog","","","","https://blogs.oxford.anglican.org/the-only-way-is-ethics/","AI in the UK: ready, willing and able? is the new report from the Lords Select Committee on Artificial Intelligence. The Bishop of Oxford, the Rt Revd Dr Steven Croft, a member of the committee, explores a critical moment for AI: humankind has the power now to shape AI as it develops.","2018-04-16","2019-01-04 19:29:59","2019-01-15 17:44:01","2019-01-04 19:29:59","","","","","","","","","","","","","","en-GB","","","","","","","","","/Users/jamie/Zotero/storage/4LPY2NVA/the-only-way-is-ethics.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KWRNALB2","webpage","2018","Croft, Steven","How to be human","Bishop Steven's Blog","","","","https://blogs.oxford.anglican.org/how-to-be-human/","Bishop Steven Croft explores the fundamental question of our age: what does it mean to be human and how do we live well in the age of the machine?","2018-11-20","2019-01-04 19:35:14","2019-01-15 17:44:01","2019-01-04 19:35:14","","","","","","","","","","","","","","en-GB","","","","","","","","","/Users/jamie/Zotero/storage/CZDGZT4H/how-to-be-human.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W3NKCWTA","webpage","2018","Croft, Steven","Move fast and mend things","Bishop Steven's Blog","","","","https://blogs.oxford.anglican.org/move-fast-and-mend-things/","The Bishop of Oxford is one of an expert panel of advisers appointed to shape the work of the world’s first Centre for Data Ethics and Innovation.","2018-11-20","2019-01-04 19:36:00","2019-01-15 17:44:01","2019-01-04 19:36:00","","","","","","","","","","","","","","en-GB","","","","","","","","","/Users/jamie/Zotero/storage/9DWRU75W/move-fast-and-mend-things.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N7PUZUGG","blogPost","2017","Matias, J. Nathan; Manikonda, Lydia; Hale, Scott; Arnold, Ken","How AI is Changing Global Understanding and Cooperation","Medium","","","","https://medium.com/ai-and-christianity/how-ai-is-changing-global-understanding-and-cooperation-7eb995349b87","Introducing Christians to key questions about Artificial Intelligence and its role in society","2017-10-19","2019-01-04 20:00:11","2019-01-15 17:44:01","2019-01-04 20:00:11","","","","","","","","","","","","","","","","","","","","","","","/Users/jamie/Zotero/storage/V4RHG3ZA/how-ai-is-changing-global-understanding-and-cooperation-7eb995349b87.html","","","ARTIFICIAL INTELLIGENCE; CHRISTIANITY; RELIGION; SOCIAL SCIENCE; TECHNOLOGY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VMPNEXK7","blogPost","2017","Matias, J. Nathan; Manikonda, Lydia; Hale, Scott; Arnold, Ken","Relating to Artificial Persons in Everyday Life","AI and Christianity","","","","https://medium.com/ai-and-christianity/relating-to-artificial-persons-in-everyday-life-60bd9ff005ae","How how does our treatment of artificial persons shape our character, relationships, and human understanding?","2017-10-26","2019-01-04 20:02:26","2019-01-15 17:44:01","2019-01-04 20:02:26","","","","","","","","","","","","","","","","","","","","","","","/Users/jamie/Zotero/storage/5LEB9TEP/relating-to-artificial-persons-in-everyday-life-60bd9ff005ae.html","","","ARTIFICIAL INTELLIGENCE; CHRISTIANITY; RELIGION; SOCIAL SCIENCE; TECHNOLOGY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IQIV8FVT","blogPost","2017","Matias, J. Nathan; Manikonda, Lydia; Hale, Scott; Arnold, Ken","How will AI Transform Work, Creativity, and Purpose?","Medium","","","","https://medium.com/ai-and-christianity/how-will-ai-transform-work-creativity-and-purpose-a8c78aa3368e","To Christians, work is part of our human identity and our worship. So too are our inventions.","2017-10-27","2019-01-04 20:08:04","2019-01-15 17:44:01","2019-01-04 20:08:04","","","","","","","","","","","","","","","","","","","","","","","/Users/jamie/Zotero/storage/RTMH5WXM/how-will-ai-transform-work-creativity-and-purpose-a8c78aa3368e.html","","","ARTIFICIAL INTELLIGENCE; CHRISTIANITY; RELIGION; SOCIAL SCIENCE; TECHNOLOGY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YNJ3MTFS","blogPost","2017","Matias, J. Nathan; Manikonda, Lydia; Hale, Scott; Arnold, Ken","AI in Counseling & Spiritual Care","AI and Christianity","","","","https://medium.com/ai-and-christianity/ai-in-counseling-spiritual-care-e324d9aea3b0","Predictive models are transforming mental health. They might also monitor and shape our moral lives.","2017-11-02","2019-01-04 20:08:15","2019-01-15 17:44:01","2019-01-04 20:08:15","","","","","","","","","","","","","","","","","","","","","","","/Users/jamie/Zotero/storage/KUXRFR7J/ai-in-counseling-spiritual-care-e324d9aea3b0.html","","","ARTIFICIAL INTELLIGENCE; CHRISTIANITY; RELIGION; SOCIAL SCIENCE; TECHNOLOGY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G7JRQVHJ","blogPost","2017","Matias, J. Nathan; Manikonda, Lydia; Hale, Scott; Arnold, Ken","How AI is Shaping Ideas of Sin, Justice, Freedom, and Forgiveness","Medium","","","","https://medium.com/ai-and-christianity/how-ai-is-shaping-ideas-of-sin-justice-freedom-and-forgiveness-5204457926c5","What can Christians offer a world that expects machines to predict our moral and legal futures?","2017-11-20","2019-01-04 20:08:30","2019-01-15 17:44:01","2019-01-04 20:08:30","","","","","","","","","","","","","","","","","","","","","","","/Users/jamie/Zotero/storage/VHKZRY5A/how-ai-is-shaping-ideas-of-sin-justice-freedom-and-forgiveness-5204457926c5.html","","","ARTIFICIAL INTELLIGENCE; CHRISTIANITY; RELIGION; SOCIAL SCIENCE; TECHNOLOGY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"484ABTAQ","blogPost","2017","Matias, J. Nathan; Manikonda, Lydia; Hale, Scott; Arnold, Ken","Finance, Charity, and Fairness","AI and Christianity","","","","https://medium.com/ai-and-christianity/finance-charity-and-fairness-bce760ef6821","AIs are influencing how resources reach the people who need them most. Christians need ways to design, audit, & remake them.","2017-11-26","2019-01-04 20:08:41","2019-01-15 17:44:01","2019-01-04 20:08:41","","","","","","","","","","","","","","","","","","","","","","","/Users/jamie/Zotero/storage/TR4VQ5R2/finance-charity-and-fairness-bce760ef6821.html","","","ARTIFICIAL INTELLIGENCE; CHRISTIANITY; RELIGION; SOCIAL SCIENCE; TECHNOLOGY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q3AJCCIT","blogPost","2017","Matias, J. Nathan; Manikonda, Lydia; Hale, Scott; Arnold, Ken","Artificial Intelligence in Christian Thought and Practice","Medium","","","","https://medium.com/ai-and-christianity/artificial-intelligence-in-christian-thought-and-practice-20ec8635a94f","This series by Christian computer scientists introduces questions for Christians about AI and its role in society","2017-10-19","2019-01-04 20:08:53","2019-01-15 17:44:01","2019-01-04 20:08:53","","","","","","","","","","","","","","","","","","","","","","","/Users/jamie/Zotero/storage/KMZEV8RP/artificial-intelligence-in-christian-thought-and-practice-20ec8635a94f.html","","","ARTIFICIAL INTELLIGENCE; CHRISTIANITY; RELIGION; SOCIAL SCIENCE; TECHNOLOGY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y554SZGI","journalArticle","2017","Rose, Marika","Machines of Loving Grace: Angels, Cyborgs and Postsecular Labour","Journal for Cultural and Religious Theory","","","","https://hcommons.org/deposits/item/hc:14351/","Charles Taylor’s ‘secular age’ was always also a machine age; the death of God and the mechanisation of the world developed in tandem with one another. Yet magic did not disappear from this new world so much as find itself transposed into new forms, new bodies, and new powers. This paper will explore the implications of this tranposition.  On Marx’s account, a machine is made up of three components: a motor mechanism, a self-moving power which drives the machine as a whole; a transmitting mechanism, which divides and distributes this power; and the tool or working machine. We might, then, read Dionysius’ decidedly un-secular Celestial Hierarchy as the description of a heavenly machine designed, as Agamben suggests, for the government of the world and the generation of surplus value in the form of doxology. The divine eros which generates the Dionysian cosmos originates with God, is passed on by the angelic messengers, who transmit the divine power to the ecclesiastical hierarchy, whose members labour to become fellow workers with God.  As Marx well knew, machines can function as instruments either of domination or of liberation. This paper will bring Dionysius’ account of angelic labour into conversation with contemporary discussions of the machinic transformation of human labour. First, it will think through the relationship of the divine eros and the role of angels as ‘fellow workmen for God’ in dialogue with Frédéric Lordon and Maurizio Lazzarato’s account of the entanglement of machines and desire in contemporary labour. Second, it will bring the ambiguous role of angels in Dionysius’ anthropology to bear on Donna Haraway’s exposition of the utopian possibilities of the figure of the cyborg as a figure for the possible futures of human life and labour. How might Dionysius help us to think postsecular labour anew?","2017","2019-01-05 18:15:30","2019-01-15 17:44:01","2019-01-05 18:15:30","240-259","","2","16","","","Machines of Loving Grace","","","","","","","en-US","","","","","hcommons.org","","","","/Users/jamie/Zotero/storage/UMEH3S4M/Rose - 2017 - Machines of Loving Grace Angels, Cyborgs and Post.pdf; /Users/jamie/Zotero/storage/Z6LNRSFR/hc14351.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BTBJDQVD","book","1991","Grant, George","Technology and Empire","","978-0-88784-876-6","","","","George Grant -- philosopher, conservative, Canadian nationalist -- was one of Canada's most significant thinkers and the author of Lament for a Nation. In Technology and Empire, Grant reflects on the extent to which technology has shaped our modern culture.","1991-06-01","2019-01-05 18:25:31","2019-01-15 17:44:01","","","145","","","","","","","","","","House of Anansi Press Incorporated","","en","","","","","Google Books","","Google-Books-ID: fXTVi3E55zoC","","","https://books.google.co.uk/books?id=fXTVi3E55zoC","","Technology & Engineering / Social Aspects; Philosophy / Political","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SN5FFVYY","book","1991","Grant, George","Technology and Justice","","978-0-88784-877-3","","","","In six magnificent essays, George Grant reflects on the extent to which technology has shaped the way we live now. Admirers of Grant's English-Speaking Justice will welcome this exploration of the fate of traditional values in modern education, social behaviour, and religion, as well as Grant's penetrating insights into the technology of birth.","1991-09-01","2019-01-05 18:25:49","2019-01-15 17:44:01","","","137","","","","","","","","","","House of Anansi Press Incorporated","","en","","","","","Google Books","","Google-Books-ID: BXhLdjIPCykC","","","https://books.google.co.uk/books?id=BXhLdjIPCykC","","Technology & Engineering / Social Aspects; Philosophy / Political","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3AN5DERA","videoRecording","2016","Wyatt, John","Artificial Intelligence, Robots and Human Identity","","","","","https://www.sms.cam.ac.uk/media/2339041","Talk given by Prof. John Wyatt as part of Short Course 36","2016-09-16","2019-01-05 19:39:54","2019-01-15 17:44:01","2019-01-05 19:39:54","","","","","","","","","","","","","","","","","","","","","","","/Users/jamie/Zotero/storage/GF6SGAZI/2339041.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V5LQ6U5C","videoRecording","2016","Burdett, Michael S.","Can we say 'you' to artifacts: personhood and creation in a technological world","","","","","https://www.sms.cam.ac.uk/media/2352319","Talk given by Dr Michael Burdett as part of short course 36: Robots, Reality and Religion","2016-09-17","2019-01-05 19:43:43","2019-01-15 17:43:53","2019-01-05 19:43:43","","","","","","","","","","","","","","","","","","","","","","","/Users/jamie/Zotero/storage/D9NP7RP6/2352319.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UW6467RU","videoRecording","2016","Harper, Richard","Communication, God and Machines","","","","","https://www.sms.cam.ac.uk/media/2360416","Lecture given by Prof. Richard Harper on the Robots, Reality and Religion Short Course","2016-09-18","2019-01-05 19:54:45","2019-01-15 17:44:01","2019-01-05 19:54:45","","","","","","","","","","","","","","","","","","","","","","","/Users/jamie/Zotero/storage/H73MICTY/2360416.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8KZW6DYX","videoRecording","2016","Robinson, Peter","Ethical Implications of Emotionally Responsive Machines","","","","","https://www.sms.cam.ac.uk/media/2369313","Talk given by Prof. Peter Robinson as part of Short Course 36: Robots, Reality and Religion","2016-09-17","2019-01-05 19:57:18","2019-01-15 17:44:01","2019-01-05 19:57:18","","","","","","","","","","","","","","","","","","","","","","","/Users/jamie/Zotero/storage/ZFBWBEW7/2369313.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34XC8A59","videoRecording","2016","Cameron, Nigel","Social Implications and the Future of Work","","","","","https://www.sms.cam.ac.uk/media/2334042","Talk given by Prof. Nigel Cameron as part of short course 36","2016-09-18","2019-01-05 20:05:50","2019-01-15 17:44:01","2019-01-05 20:05:50","","","","","","","","","","","","","","","","","","","","","","","/Users/jamie/Zotero/storage/FIN9XX42/2334042.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W59X3K2J","videoRecording","2016","Singler, Beth","Science Fiction and Religion","","","","","https://www.sms.cam.ac.uk/media/2356912","Talk given by Dr Beth Singler as part of Short Course 36: Robots, Reality and Religion","2016-09-17","2019-01-05 20:07:00","2019-01-15 17:44:01","2019-01-05 20:07:00","","","","","","","","","","","","","","","","","","","","","","","/Users/jamie/Zotero/storage/NCQ4L3NX/2356912.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FZ7GSXK3","videoRecording","2016","Glass, David","Religious Faith in an Age of Intelligent Machines","","","","","https://www.sms.cam.ac.uk/media/2347977","Talk given by Dr David Glass as part of Short Course 36","2016-09-17","2019-01-05 20:08:02","2019-01-15 17:44:01","2019-01-05 20:08:02","","","","","","","","","","","","","","","","","","","","","","","/Users/jamie/Zotero/storage/53YFEMZU/2347977.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KPZM33AD","videoRecording","2016","Rees, Martin","Artificial Intelligence and the search for Extra-Terrestrial Life","","","","","https://www.sms.cam.ac.uk/media/2356167","Talk given by Lord Martin Rees at Short Course 36","2016-09-17","2019-01-05 20:10:07","2019-01-15 17:44:01","2019-01-05 20:10:07","","","","","","","","","","","","","","","","","","","","","","","/Users/jamie/Zotero/storage/UEB4B85L/2356167.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W4X2RS22","videoRecording","2018","Wyatt, John","Could a robot ever have real human identity?","","","","","https://www.sms.cam.ac.uk/media/2817939","Talk given by Prof. John Wyatt at Summer Course 2018","2018-07","2019-01-05 20:29:26","2019-01-15 17:44:01","2019-01-05 20:29:26","","","","","","","","","","","","","","","","","","","","","","","/Users/jamie/Zotero/storage/7QHQJAE3/2817939.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VRHT5E5U","journalArticle","2017","Herzfeld, Noreen","Introduction: Religion and the New Technologies","Religions","","","10.3390/rel8070129","https://www.mdpi.com/2077-1444/8/7/129","In April 2000, Wired published a controversial article entitled “Why the Future Doesn’t Need Us” by Joy (2000), co-founder and chief scientist at Sun Microsystems.[...]","2017-07","2019-01-15 20:56:47","2019-01-15 20:56:47","2019-01-15 20:56:47","129","","7","8","","","Introduction","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","","","/Users/jamie/Zotero/storage/R3M4MGGD/Herzfeld - 2017 - Introduction Religion and the New Technologies.pdf; /Users/jamie/Zotero/storage/SW39JI6P/129.html","","","n/a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KSW3P3AQ","journalArticle","2017","Labrecque, Cory Andrew","The Glorified Body: Corporealities in the Catholic Tradition","Religions","","","10.3390/rel8090166","https://www.mdpi.com/2077-1444/8/9/166","The rise of new technologies—robotics, artificial intelligence, and nanotechnology among them—gave the American computer scientist Bill Joy certain pause for deep concern; these, he cautioned, carry the very real potential to push humankind toward extinction. In this essay, I explore an often understated reference in conversations on the promises and shortcomings of said technologies: the disposability of the human body. The Catholic tradition, in particular, boasts a rich and extensive collection of teachings on the theology of the body, which addresses, among other things, the significance of the body for human identity, its relationship to the soul, our (restrained) rights and mastery over it, its (proper) uses over the course of life, its relationship with other bodies, the value of its limitations, and its postmortem fate. Here, I engage the Church’s understanding of the centrality of the body alongside currents in transhumanist philosophy which champion technologies that neglect, or intentionally seek to discard, the body in the name of progress.","2017-09","2019-01-15 20:59:29","2019-01-15 20:59:29","2019-01-15 20:59:29","166","","9","8","","","The Glorified Body","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","","","/Users/jamie/Zotero/storage/39YQDECC/Labrecque - 2017 - The Glorified Body Corporealities in the Catholic.pdf; /Users/jamie/Zotero/storage/ND3H7NNU/htm.html","","","glorified body; resurrection; theology of the body; throwaway culture; transhumanism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VK8BPT35","journalArticle","2017","Green, Brian Patrick","The Catholic Church and Technological Progress: Past, Present, and Future","Religions","","","10.3390/rel8060106","https://www.mdpi.com/2077-1444/8/6/106","Over 2000 years the Catholic Church has slowly developed a posture towards technology which is predominantly techno-optimist and techno-progressive, and yet the Church does not have this reputation today. Concomitantly, Church institutions and individuals have made crucial contributions to the advance of science and technology, yet despite this practical effort to better human development, Christian theology has been remarkably uninterested in the subject of technology. This lack of interest is no longer tenable; scholars of religion and theologians should seriously engage technology because it is empowering humanity in ways that were previously reserved only for gods. This blind spot has not only hampered the Church’s ability to understand itself and our world, but also impeded the ability of the Church to fulfill its mission. Pope Francis’s 2015 encyclical Laudato Si has begun to address this neglect, but is best understood in the context of Christian history, not only as written, but more so as practiced.","2017-06","2019-01-15 21:06:13","2019-01-15 21:06:13","2019-01-15 21:06:13","106","","6","8","","","The Catholic Church and Technological Progress","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","","","/Users/jamie/Zotero/storage/WUXDA7ZW/Green - 2017 - The Catholic Church and Technological Progress Pa.pdf; /Users/jamie/Zotero/storage/3SMYWM7H/106.html","","","<i>Laudato Si</i>; Catholic; Christian; ethics; history; Pope Francis; technology; theology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZGEX2QQH","journalArticle","2017","Lumbreras, Sara","The Limits of Machine Ethics","Religions","","","10.3390/rel8050100","https://www.mdpi.com/2077-1444/8/5/100","Machine Ethics has established itself as a new discipline that studies how to endow autonomous devices with ethical behavior. This paper provides a general framework for classifying the different approaches that are currently being explored in the field of machine ethics and introduces considerations that are missing from the current debate. In particular, law-based codes implemented as external filters for action—which we have named filtered decision making—are proposed as the basis for future developments. The emergence of values as guides for action is discussed, and personal language –together with subjectivity- are indicated as necessary conditions for this development. Last, utilitarian approaches are studied and the importance of objective expression as a requisite for their implementation is stressed. Only values expressed by the programmer in a public language—that is, separate of subjective considerations—can be evolved in a learning machine, therefore establishing the limits of present-day machine ethics.","2017-05","2019-01-15 21:07:13","2019-01-15 21:07:13","2019-01-15 21:07:13","100","","5","8","","","","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","","","/Users/jamie/Zotero/storage/AL2C5H7B/Lumbreras - 2017 - The Limits of Machine Ethics.pdf; /Users/jamie/Zotero/storage/EAH9R7Y3/100.html","","","ethics of machines; learning automata.; theory of mind; values","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5J98ZIDQ","journalArticle","2017","Mercer, Calvin","Resurrection of the Body and Cryonics","Religions","","","10.3390/rel8050096","https://www.mdpi.com/2077-1444/8/5/96","The Christian doctrine of resurrection of the body is employed to interpret the cryonics program of preserving legally dead people with the plan to restore them when future medicine can effectively address the cause of death. Cryonics is not accepted by mainstream science, and even if the vision is never realized, it is worth the effort to use it as a thought experiment to test the capability of the Christian theological system to address this issue in the unfolding new world of human enhancement. Drawing on the apostle Paul, whose view was based in the Jewish notion of psychosomatic unity, Christian resurrection includes emphases on physicality, radical transformation, and continuity of personal identity. Successful cryonics scenarios can include restoring a person to more or less the same life they had before or, more likely, utilize robotics, tissue regeneration, and other future advances in human enhancement technology to restore one to an enhanced state. Christian resurrection and the more likely cryonics scenario both entail physicality, radical transformation, and continuity of personal identity and, as such, can be understood to be technological expressions of Christian resurrection.","2017-05","2019-01-15 21:09:36","2019-01-15 21:09:36","2019-01-15 21:09:36","96","","5","8","","","","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","","","/Users/jamie/Zotero/storage/2MWZPXA5/Mercer - 2017 - Resurrection of the Body and Cryonics.pdf; /Users/jamie/Zotero/storage/HDYJ5ESU/96.html","","","body; Christian theology; cryonics; dualism; immortality of the soul; personal identity; resurrection; superintelligence; uploading; whole brain emulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
